State,Year,Crime Type,Value
chandigarh,2018,Kidnap And Assault,139
d&n haveli,2018,Kidnap And Assault,0
daman & diu,2018,Kidnap And Assault,0
delhi ut,2018,Kidnap And Assault,3715
lakshadweep,2018,Kidnap And Assault,0
puducherry,2018,Kidnap And Assault,14
andhra pradesh,2019,Kidnap And Assault,589
arunachal pradesh,2019,Kidnap And Assault,68
assam,2019,Kidnap And Assault,6989
bihar,2019,Kidnap And Assault,9025
chhattisgarh,2019,Kidnap And Assault,2033
goa,2019,Kidnap And Assault,52
gujarat,2019,Kidnap And Assault,922
haryana,2019,Kidnap And Assault,2803
himachal pradesh,2019,Kidnap And Assault,337
jammu & kashmir,2019,Kidnap And Assault,893
jharkhand,2019,Kidnap And Assault,1008
karnataka,2019,Kidnap And Assault,1056
kerala,2019,Kidnap And Assault,227
madhya pradesh,2019,Kidnap And Assault,6091
maharashtra,2019,Kidnap And Assault,6906
manipur,2019,Kidnap And Assault,84
meghalaya,2019,Kidnap And Assault,71
mizoram,2019,Kidnap And Assault,2
nagaland,2019,Kidnap And Assault,13
odisha,2019,Kidnap And Assault,3934
punjab,2019,Kidnap And Assault,1534
rajasthan,2019,Kidnap And Assault,5907
sikkim,2019,Kidnap And Assault,0
tamil nadu,2019,Kidnap And Assault,699
telangana,2019,Kidnap And Assault,1322
tripura,2019,Kidnap And Assault,138
uttar pradesh,2019,Kidnap And Assault,11649
uttarakhand,2019,Kidnap And Assault,375
west bengal,2019,Kidnap And Assault,4249
a & n islands,2019,Kidnap And Assault,0
chandigarh,2019,Kidnap And Assault,129
d&n haveli,2019,Kidnap And Assault,1
daman & diu,2019,Kidnap And Assault,2
delhi ut,2019,Kidnap And Assault,3672
lakshadweep,2019,Kidnap And Assault,0
puducherry,2019,Kidnap And Assault,0
andhra pradesh,2020,Kidnap And Assault,534
arunachal pradesh,2020,Kidnap And Assault,45
assam,2020,Kidnap And Assault,5364
bihar,2020,Kidnap And Assault,6671
chhattisgarh,2020,Kidnap And Assault,1341
goa,2020,Kidnap And Assault,31
gujarat,2020,Kidnap And Assault,597
haryana,2020,Kidnap And Assault,2423
himachal pradesh,2020,Kidnap And Assault,281
jammu & kashmir,2020,Kidnap And Assault,993
jharkhand,2020,Kidnap And Assault,923
karnataka,2020,Kidnap And Assault,151
kerala,2020,Kidnap And Assault,4782
madhya pradesh,2020,Kidnap And Assault,5254
maharashtra,2020,Kidnap And Assault,49
manipur,2020,Kidnap And Assault,29
meghalaya,2020,Kidnap And Assault,1
mizoram,2020,Kidnap And Assault,6
nagaland,2020,Kidnap And Assault,3775
odisha,2020,Kidnap And Assault,1241
punjab,2020,Kidnap And Assault,4739
rajasthan,2020,Kidnap And Assault,11
sikkim,2020,Kidnap And Assault,633
tamil nadu,2020,Kidnap And Assault,1314
telangana,2020,Kidnap And Assault,110
tripura,2020,Kidnap And Assault,9109
uttar pradesh,2020,Kidnap And Assault,349
uttarakhand,2020,Kidnap And Assault,7740
west bengal,2020,Kidnap And Assault,1
a & n islands,2020,Kidnap And Assault,90
chandigarh,2020,Kidnap And Assault,0
d&n haveli,2020,Kidnap And Assault,2938
daman & diu,2020,Kidnap And Assault,775
delhi ut,2020,Kidnap And Assault,0
lakshadweep,2020,Kidnap And Assault,0
puducherry,2020,Kidnap And Assault,0
andhra pradesh,2021,Kidnap And Assault,613
arunachal pradesh,2021,Kidnap And Assault,50
assam,2021,Kidnap And Assault,5739
bihar,2021,Kidnap And Assault,8661
chhattisgarh,2021,Kidnap And Assault,1158
goa,2021,Kidnap And Assault,39
gujarat,2021,Kidnap And Assault,881
haryana,2021,Kidnap And Assault,2958
himachal pradesh,2021,Kidnap And Assault,344
jammu & kashmir,2021,Kidnap And Assault,1159
jharkhand,2021,Kidnap And Assault,906
karnataka,2021,Kidnap And Assault,179
kerala,2021,Kidnap And Assault,6106
madhya pradesh,2021,Kidnap And Assault,7559
maharashtra,2021,Kidnap And Assault,44
manipur,2021,Kidnap And Assault,42
meghalaya,2021,Kidnap And Assault,0
mizoram,2021,Kidnap And Assault,5
nagaland,2021,Kidnap And Assault,5175
odisha,2021,Kidnap And Assault,1616
punjab,2021,Kidnap And Assault,5964
rajasthan,2021,Kidnap And Assault,1
sikkim,2021,Kidnap And Assault,638
tamil nadu,2021,Kidnap And Assault,1934
telangana,2021,Kidnap And Assault,115
tripura,2021,Kidnap And Assault,10574
uttar pradesh,2021,Kidnap And Assault,402
uttarakhand,2021,Kidnap And Assault,7376
west bengal,2021,Kidnap And Assault,0
a & n islands,2021,Kidnap And Assault,120
chandigarh,2021,Kidnap And Assault,23
d&n haveli,2021,Kidnap And Assault,4083
daman & diu,2021,Kidnap And Assault,904
delhi ut,2021,Kidnap And Assault,1
lakshadweep,2021,Kidnap And Assault,0
puducherry,2021,Kidnap And Assault,0
andhra pradesh,2001,Dowry Deaths,420
arunachal pradesh,2001,Dowry Deaths,0
assam,2001,Dowry Deaths,59
bihar,2001,Dowry Deaths,859
chhattisgarh,2001,Dowry Deaths,70
goa,2001,Dowry Deaths,2
gujarat,2001,Dowry Deaths,67
haryana,2001,Dowry Deaths,285
himachal pradesh,2001,Dowry Deaths,10
jammu & kashmir,2001,Dowry Deaths,13
jharkhand,2001,Dowry Deaths,217
karnataka,2001,Dowry Deaths,220
kerala,2001,Dowry Deaths,27
madhya pradesh,2001,Dowry Deaths,609
maharashtra,2001,Dowry Deaths,308
manipur,2001,Dowry Deaths,0
meghalaya,2001,Dowry Deaths,0
mizoram,2001,Dowry Deaths,0
nagaland,2001,Dowry Deaths,0
odisha,2001,Dowry Deaths,294
punjab,2001,Dowry Deaths,159
rajasthan,2001,Dowry Deaths,376
sikkim,2001,Dowry Deaths,0
tamil nadu,2001,Dowry Deaths,191
tripura,2001,Dowry Deaths,16
uttar pradesh,2001,Dowry Deaths,2211
uttarakhand,2001,Dowry Deaths,56
west bengal,2001,Dowry Deaths,265
a & n islands,2001,Dowry Deaths,0
chandigarh,2001,Dowry Deaths,3
d & n haveli,2001,Dowry Deaths,0
daman & diu,2001,Dowry Deaths,0
lakshadweep,2001,Dowry Deaths,0
puducherry,2001,Dowry Deaths,1
andhra pradesh,2002,Dowry Deaths,449
arunachal pradesh,2002,Dowry Deaths,0
assam,2002,Dowry Deaths,70
bihar,2002,Dowry Deaths,927
chhattisgarh,2002,Dowry Deaths,85
goa,2002,Dowry Deaths,2
gujarat,2002,Dowry Deaths,62
haryana,2002,Dowry Deaths,256
himachal pradesh,2002,Dowry Deaths,6
jammu & kashmir,2002,Dowry Deaths,18
jharkhand,2002,Dowry Deaths,275
karnataka,2002,Dowry Deaths,233
kerala,2002,Dowry Deaths,17
madhya pradesh,2002,Dowry Deaths,674
maharashtra,2002,Dowry Deaths,303
manipur,2002,Dowry Deaths,0
meghalaya,2002,Dowry Deaths,0
mizoram,2002,Dowry Deaths,0
nagaland,2002,Dowry Deaths,0
odisha,2002,Dowry Deaths,248
punjab,2002,Dowry Deaths,166
rajasthan,2002,Dowry Deaths,399
sikkim,2002,Dowry Deaths,0
tamil nadu,2002,Dowry Deaths,243
tripura,2002,Dowry Deaths,16
uttar pradesh,2002,Dowry Deaths,1893
uttarakhand,2002,Dowry Deaths,66
west bengal,2002,Dowry Deaths,273
a & n islands,2002,Dowry Deaths,0
chandigarh,2002,Dowry Deaths,1
d & n haveli,2002,Dowry Deaths,0
daman & diu,2002,Dowry Deaths,0
lakshadweep,2002,Dowry Deaths,0
puducherry,2002,Dowry Deaths,5
andhra pradesh,2003,Dowry Deaths,466
arunachal pradesh,2003,Dowry Deaths,0
assam,2003,Dowry Deaths,60
bihar,2003,Dowry Deaths,909
chhattisgarh,2003,Dowry Deaths,79
goa,2003,Dowry Deaths,2
gujarat,2003,Dowry Deaths,54
haryana,2003,Dowry Deaths,222
himachal pradesh,2003,Dowry Deaths,6
jammu & kashmir,2003,Dowry Deaths,10
jharkhand,2003,Dowry Deaths,262
karnataka,2003,Dowry Deaths,194
kerala,2003,Dowry Deaths,33
madhya pradesh,2003,Dowry Deaths,648
maharashtra,2003,Dowry Deaths,368
manipur,2003,Dowry Deaths,0
meghalaya,2003,Dowry Deaths,0
mizoram,2003,Dowry Deaths,0
nagaland,2003,Dowry Deaths,0
odisha,2003,Dowry Deaths,279
punjab,2003,Dowry Deaths,110
rajasthan,2003,Dowry Deaths,389
sikkim,2003,Dowry Deaths,0
tamil nadu,2003,Dowry Deaths,220
tripura,2003,Dowry Deaths,20
uttar pradesh,2003,Dowry Deaths,1322
uttarakhand,2003,Dowry Deaths,93
west bengal,2003,Dowry Deaths,329
a & n islands,2003,Dowry Deaths,0
chandigarh,2003,Dowry Deaths,1
d & n haveli,2003,Dowry Deaths,0
daman & diu,2003,Dowry Deaths,1
lakshadweep,2003,Dowry Deaths,0
puducherry,2003,Dowry Deaths,1
andhra pradesh,2004,Dowry Deaths,512
arunachal pradesh,2004,Dowry Deaths,0
assam,2004,Dowry Deaths,74
bihar,2004,Dowry Deaths,1029
chhattisgarh,2004,Dowry Deaths,71
goa,2004,Dowry Deaths,2
gujarat,2004,Dowry Deaths,58
haryana,2004,Dowry Deaths,251
himachal pradesh,2004,Dowry Deaths,8
jammu & kashmir,2004,Dowry Deaths,9
jharkhand,2004,Dowry Deaths,275
karnataka,2004,Dowry Deaths,259
kerala,2004,Dowry Deaths,31
madhya pradesh,2004,Dowry Deaths,751
maharashtra,2004,Dowry Deaths,314
manipur,2004,Dowry Deaths,0
meghalaya,2004,Dowry Deaths,2
mizoram,2004,Dowry Deaths,0
nagaland,2004,Dowry Deaths,0
odisha,2004,Dowry Deaths,319
punjab,2004,Dowry Deaths,113
rajasthan,2004,Dowry Deaths,379
sikkim,2004,Dowry Deaths,0
tamil nadu,2004,Dowry Deaths,225
tripura,2004,Dowry Deaths,20
uttar pradesh,2004,Dowry Deaths,1708
uttarakhand,2004,Dowry Deaths,82
west bengal,2004,Dowry Deaths,396
a & n islands,2004,Dowry Deaths,0
chandigarh,2004,Dowry Deaths,6
d & n haveli,2004,Dowry Deaths,0
daman & diu,2004,Dowry Deaths,0
lakshadweep,2004,Dowry Deaths,0
puducherry,2004,Dowry Deaths,6
andhra pradesh,2005,Dowry Deaths,443
arunachal pradesh,2005,Dowry Deaths,0
assam,2005,Dowry Deaths,99
bihar,2005,Dowry Deaths,1014
chhattisgarh,2005,Dowry Deaths,100
goa,2005,Dowry Deaths,2
gujarat,2005,Dowry Deaths,48
haryana,2005,Dowry Deaths,212
himachal pradesh,2005,Dowry Deaths,2
jammu & kashmir,2005,Dowry Deaths,5
jharkhand,2005,Dowry Deaths,257
karnataka,2005,Dowry Deaths,261
kerala,2005,Dowry Deaths,21
madhya pradesh,2005,Dowry Deaths,739
maharashtra,2005,Dowry Deaths,341
manipur,2005,Dowry Deaths,0
meghalaya,2005,Dowry Deaths,1
mizoram,2005,Dowry Deaths,4
nagaland,2005,Dowry Deaths,0
odisha,2005,Dowry Deaths,334
punjab,2005,Dowry Deaths,99
rajasthan,2005,Dowry Deaths,361
sikkim,2005,Dowry Deaths,0
tamil nadu,2005,Dowry Deaths,215
tripura,2005,Dowry Deaths,34
uttar pradesh,2005,Dowry Deaths,1564
uttarakhand,2005,Dowry Deaths,63
west bengal,2005,Dowry Deaths,446
a & n islands,2005,Dowry Deaths,0
chandigarh,2005,Dowry Deaths,3
d & n haveli,2005,Dowry Deaths,0
daman & diu,2005,Dowry Deaths,1
lakshadweep,2005,Dowry Deaths,0
puducherry,2005,Dowry Deaths,4
andhra pradesh,2006,Dowry Deaths,519
arunachal pradesh,2006,Dowry Deaths,1
assam,2006,Dowry Deaths,105
bihar,2006,Dowry Deaths,1188
chhattisgarh,2006,Dowry Deaths,103
goa,2006,Dowry Deaths,0
gujarat,2006,Dowry Deaths,50
haryana,2006,Dowry Deaths,255
himachal pradesh,2006,Dowry Deaths,3
jammu & kashmir,2006,Dowry Deaths,10
jharkhand,2006,Dowry Deaths,281
karnataka,2006,Dowry Deaths,244
kerala,2006,Dowry Deaths,25
madhya pradesh,2006,Dowry Deaths,764
maharashtra,2006,Dowry Deaths,387
manipur,2006,Dowry Deaths,0
meghalaya,2006,Dowry Deaths,6
mizoram,2006,Dowry Deaths,0
nagaland,2006,Dowry Deaths,0
odisha,2006,Dowry Deaths,457
punjab,2006,Dowry Deaths,130
rajasthan,2006,Dowry Deaths,394
sikkim,2006,Dowry Deaths,0
tamil nadu,2006,Dowry Deaths,187
tripura,2006,Dowry Deaths,35
uttar pradesh,2006,Dowry Deaths,1798
uttarakhand,2006,Dowry Deaths,80
west bengal,2006,Dowry Deaths,445
a & n islands,2006,Dowry Deaths,0
chandigarh,2006,Dowry Deaths,10
d & n haveli,2006,Dowry Deaths,1
daman & diu,2006,Dowry Deaths,0
lakshadweep,2006,Dowry Deaths,0
puducherry,2006,Dowry Deaths,3
andhra pradesh,2007,Dowry Deaths,613
arunachal pradesh,2007,Dowry Deaths,0
assam,2007,Dowry Deaths,100
bihar,2007,Dowry Deaths,1172
chhattisgarh,2007,Dowry Deaths,100
goa,2007,Dowry Deaths,2
gujarat,2007,Dowry Deaths,42
haryana,2007,Dowry Deaths,269
himachal pradesh,2007,Dowry Deaths,8
jammu & kashmir,2007,Dowry Deaths,9
jharkhand,2007,Dowry Deaths,303
karnataka,2007,Dowry Deaths,251
kerala,2007,Dowry Deaths,27
madhya pradesh,2007,Dowry Deaths,742
maharashtra,2007,Dowry Deaths,436
manipur,2007,Dowry Deaths,0
meghalaya,2007,Dowry Deaths,2
mizoram,2007,Dowry Deaths,0
nagaland,2007,Dowry Deaths,0
odisha,2007,Dowry Deaths,461
punjab,2007,Dowry Deaths,133
rajasthan,2007,Dowry Deaths,439
sikkim,2007,Dowry Deaths,0
tamil nadu,2007,Dowry Deaths,208
tripura,2007,Dowry Deaths,36
uttar pradesh,2007,Dowry Deaths,2076
uttarakhand,2007,Dowry Deaths,70
west bengal,2007,Dowry Deaths,451
a & n islands,2007,Dowry Deaths,1
chandigarh,2007,Dowry Deaths,1
d & n haveli,2007,Dowry Deaths,0
daman & diu,2007,Dowry Deaths,1
lakshadweep,2007,Dowry Deaths,0
puducherry,2007,Dowry Deaths,2
andhra pradesh,2008,Dowry Deaths,556
arunachal pradesh,2008,Dowry Deaths,0
assam,2008,Dowry Deaths,103
bihar,2008,Dowry Deaths,1210
chhattisgarh,2008,Dowry Deaths,106
goa,2008,Dowry Deaths,2
gujarat,2008,Dowry Deaths,27
haryana,2008,Dowry Deaths,302
himachal pradesh,2008,Dowry Deaths,3
jammu & kashmir,2008,Dowry Deaths,21
jharkhand,2008,Dowry Deaths,266
karnataka,2008,Dowry Deaths,259
kerala,2008,Dowry Deaths,31
madhya pradesh,2008,Dowry Deaths,805
maharashtra,2008,Dowry Deaths,390
manipur,2008,Dowry Deaths,1
meghalaya,2008,Dowry Deaths,2
mizoram,2008,Dowry Deaths,0
nagaland,2008,Dowry Deaths,0
odisha,2008,Dowry Deaths,401
punjab,2008,Dowry Deaths,128
rajasthan,2008,Dowry Deaths,439
sikkim,2008,Dowry Deaths,0
tamil nadu,2008,Dowry Deaths,207
tripura,2008,Dowry Deaths,16
uttar pradesh,2008,Dowry Deaths,2237
uttarakhand,2008,Dowry Deaths,73
west bengal,2008,Dowry Deaths,451
a & n islands,2008,Dowry Deaths,2
chandigarh,2008,Dowry Deaths,3
d & n haveli,2008,Dowry Deaths,0
daman & diu,2008,Dowry Deaths,0
lakshadweep,2008,Dowry Deaths,0
puducherry,2008,Dowry Deaths,2
andhra pradesh,2009,Dowry Deaths,546
arunachal pradesh,2009,Dowry Deaths,0
assam,2009,Dowry Deaths,170
bihar,2009,Dowry Deaths,1295
chhattisgarh,2009,Dowry Deaths,128
goa,2009,Dowry Deaths,3
gujarat,2009,Dowry Deaths,24
haryana,2009,Dowry Deaths,281
himachal pradesh,2009,Dowry Deaths,1
jammu & kashmir,2009,Dowry Deaths,12
jharkhand,2009,Dowry Deaths,295
karnataka,2009,Dowry Deaths,264
kerala,2009,Dowry Deaths,20
madhya pradesh,2009,Dowry Deaths,858
maharashtra,2009,Dowry Deaths,341
manipur,2009,Dowry Deaths,0
meghalaya,2009,Dowry Deaths,0
mizoram,2009,Dowry Deaths,0
nagaland,2009,Dowry Deaths,0
odisha,2009,Dowry Deaths,384
punjab,2009,Dowry Deaths,126
rajasthan,2009,Dowry Deaths,436
sikkim,2009,Dowry Deaths,0
tamil nadu,2009,Dowry Deaths,194
tripura,2009,Dowry Deaths,29
uttar pradesh,2009,Dowry Deaths,2232
uttarakhand,2009,Dowry Deaths,94
west bengal,2009,Dowry Deaths,506
a & n islands,2009,Dowry Deaths,1
chandigarh,2009,Dowry Deaths,2
d & n haveli,2009,Dowry Deaths,0
daman & diu,2009,Dowry Deaths,0
lakshadweep,2009,Dowry Deaths,0
puducherry,2009,Dowry Deaths,0
andhra pradesh,2010,Dowry Deaths,588
arunachal pradesh,2010,Dowry Deaths,0
assam,2010,Dowry Deaths,175
bihar,2010,Dowry Deaths,1257
chhattisgarh,2010,Dowry Deaths,115
goa,2010,Dowry Deaths,1
gujarat,2010,Dowry Deaths,19
haryana,2010,Dowry Deaths,284
himachal pradesh,2010,Dowry Deaths,2
jammu & kashmir,2010,Dowry Deaths,9
jharkhand,2010,Dowry Deaths,276
karnataka,2010,Dowry Deaths,248
kerala,2010,Dowry Deaths,22
madhya pradesh,2010,Dowry Deaths,892
maharashtra,2010,Dowry Deaths,393
manipur,2010,Dowry Deaths,0
meghalaya,2010,Dowry Deaths,0
mizoram,2010,Dowry Deaths,0
nagaland,2010,Dowry Deaths,0
odisha,2010,Dowry Deaths,388
punjab,2010,Dowry Deaths,121
rajasthan,2010,Dowry Deaths,462
sikkim,2010,Dowry Deaths,1
tamil nadu,2010,Dowry Deaths,165
tripura,2010,Dowry Deaths,25
uttar pradesh,2010,Dowry Deaths,2217
uttarakhand,2010,Dowry Deaths,75
west bengal,2010,Dowry Deaths,507
a & n islands,2010,Dowry Deaths,0
chandigarh,2010,Dowry Deaths,5
d & n haveli,2010,Dowry Deaths,0
daman & diu,2010,Dowry Deaths,0
lakshadweep,2010,Dowry Deaths,0
puducherry,2010,Dowry Deaths,1
andhra pradesh,2011,Dowry Deaths,599
arunachal pradesh,2011,Dowry Deaths,0
assam,2011,Dowry Deaths,121
bihar,2011,Dowry Deaths,1413
chhattisgarh,2011,Dowry Deaths,104
goa,2011,Dowry Deaths,1
gujarat,2011,Dowry Deaths,30
haryana,2011,Dowry Deaths,255
himachal pradesh,2011,Dowry Deaths,4
jammu & kashmir,2011,Dowry Deaths,11
jharkhand,2011,Dowry Deaths,282
karnataka,2011,Dowry Deaths,267
kerala,2011,Dowry Deaths,15
madhya pradesh,2011,Dowry Deaths,811
maharashtra,2011,Dowry Deaths,339
manipur,2011,Dowry Deaths,1
meghalaya,2011,Dowry Deaths,1
mizoram,2011,Dowry Deaths,0
nagaland,2011,Dowry Deaths,0
odisha,2011,Dowry Deaths,465
punjab,2011,Dowry Deaths,143
rajasthan,2011,Dowry Deaths,514
sikkim,2011,Dowry Deaths,0
tamil nadu,2011,Dowry Deaths,152
telangana,2011,Dowry Deaths,0
tripura,2011,Dowry Deaths,30
uttar pradesh,2011,Dowry Deaths,2322
uttarakhand,2011,Dowry Deaths,83
west bengal,2011,Dowry Deaths,510
a & n islands,2011,Dowry Deaths,0
chandigarh,2011,Dowry Deaths,2
d&n haveli,2011,Dowry Deaths,0
daman & diu,2011,Dowry Deaths,0
delhi ut,2011,Dowry Deaths,142
lakshadweep,2011,Dowry Deaths,0
puducherry,2011,Dowry Deaths,1
andhra pradesh,2012,Dowry Deaths,504
arunachal pradesh,2012,Dowry Deaths,1
assam,2012,Dowry Deaths,140
bihar,2012,Dowry Deaths,1275
chhattisgarh,2012,Dowry Deaths,81
goa,2012,Dowry Deaths,0
gujarat,2012,Dowry Deaths,21
haryana,2012,Dowry Deaths,258
himachal pradesh,2012,Dowry Deaths,2
jammu & kashmir,2012,Dowry Deaths,8
jharkhand,2012,Dowry Deaths,302
karnataka,2012,Dowry Deaths,218
kerala,2012,Dowry Deaths,32
madhya pradesh,2012,Dowry Deaths,743
maharashtra,2012,Dowry Deaths,329
manipur,2012,Dowry Deaths,0
meghalaya,2012,Dowry Deaths,1
mizoram,2012,Dowry Deaths,0
nagaland,2012,Dowry Deaths,0
odisha,2012,Dowry Deaths,525
punjab,2012,Dowry Deaths,118
rajasthan,2012,Dowry Deaths,478
sikkim,2012,Dowry Deaths,1
tamil nadu,2012,Dowry Deaths,110
telangana,2012,Dowry Deaths,0
tripura,2012,Dowry Deaths,37
uttar pradesh,2012,Dowry Deaths,2244
uttarakhand,2012,Dowry Deaths,71
west bengal,2012,Dowry Deaths,593
a & n islands,2012,Dowry Deaths,2
chandigarh,2012,Dowry Deaths,5
d&n haveli,2012,Dowry Deaths,0
daman & diu,2012,Dowry Deaths,0
delhi ut,2012,Dowry Deaths,134
lakshadweep,2012,Dowry Deaths,0
puducherry,2012,Dowry Deaths,0
andhra pradesh,2013,Dowry Deaths,492
arunachal pradesh,2013,Dowry Deaths,0
assam,2013,Dowry Deaths,170
bihar,2013,Dowry Deaths,1182
chhattisgarh,2013,Dowry Deaths,109
goa,2013,Dowry Deaths,0
gujarat,2013,Dowry Deaths,29
haryana,2013,Dowry Deaths,263
himachal pradesh,2013,Dowry Deaths,0
jammu & kashmir,2013,Dowry Deaths,7
jharkhand,2013,Dowry Deaths,307
karnataka,2013,Dowry Deaths,277
kerala,2013,Dowry Deaths,21
madhya pradesh,2013,Dowry Deaths,776
maharashtra,2013,Dowry Deaths,320
manipur,2013,Dowry Deaths,0
meghalaya,2013,Dowry Deaths,2
mizoram,2013,Dowry Deaths,0
nagaland,2013,Dowry Deaths,1
odisha,2013,Dowry Deaths,395
punjab,2013,Dowry Deaths,126
rajasthan,2013,Dowry Deaths,453
sikkim,2013,Dowry Deaths,0
tamil nadu,2013,Dowry Deaths,118
telangana,2013,Dowry Deaths,0
tripura,2013,Dowry Deaths,29
uttar pradesh,2013,Dowry Deaths,2335
uttarakhand,2013,Dowry Deaths,43
west bengal,2013,Dowry Deaths,481
a & n islands,2013,Dowry Deaths,1
chandigarh,2013,Dowry Deaths,1
d&n haveli,2013,Dowry Deaths,0
daman & diu,2013,Dowry Deaths,0
delhi ut,2013,Dowry Deaths,144
lakshadweep,2013,Dowry Deaths,0
puducherry,2013,Dowry Deaths,1
andhra pradesh,2014,Dowry Deaths,468
arunachal pradesh,2014,Dowry Deaths,0
assam,2014,Dowry Deaths,92
bihar,2014,Dowry Deaths,2203
chhattisgarh,2014,Dowry Deaths,8
goa,2014,Dowry Deaths,0
gujarat,2014,Dowry Deaths,53
haryana,2014,Dowry Deaths,13
himachal pradesh,2014,Dowry Deaths,2
jammu & kashmir,2014,Dowry Deaths,1
jharkhand,2014,Dowry Deaths,1538
karnataka,2014,Dowry Deaths,1730
kerala,2014,Dowry Deaths,3
madhya pradesh,2014,Dowry Deaths,113
maharashtra,2014,Dowry Deaths,39
manipur,2014,Dowry Deaths,0
meghalaya,2014,Dowry Deaths,1
mizoram,2014,Dowry Deaths,0
nagaland,2014,Dowry Deaths,0
odisha,2014,Dowry Deaths,646
punjab,2014,Dowry Deaths,5
rajasthan,2014,Dowry Deaths,12
sikkim,2014,Dowry Deaths,0
tamil nadu,2014,Dowry Deaths,292
telangana,2014,Dowry Deaths,563
tripura,2014,Dowry Deaths,1
uttar pradesh,2014,Dowry Deaths,2133
uttarakhand,2014,Dowry Deaths,104
west bengal,2014,Dowry Deaths,1
a & n islands,2014,Dowry Deaths,0
chandigarh,2014,Dowry Deaths,2
d&n haveli,2014,Dowry Deaths,0
daman & diu,2014,Dowry Deaths,0
delhi ut,2014,Dowry Deaths,13
lakshadweep,2014,Dowry Deaths,0
puducherry,2014,Dowry Deaths,14
andhra pradesh,2015,Dowry Deaths,174
arunachal pradesh,2015,Dowry Deaths,0
assam,2015,Dowry Deaths,216
bihar,2015,Dowry Deaths,1154
chhattisgarh,2015,Dowry Deaths,89
goa,2015,Dowry Deaths,0
gujarat,2015,Dowry Deaths,12
haryana,2015,Dowry Deaths,243
himachal pradesh,2015,Dowry Deaths,2
jammu & kashmir,2015,Dowry Deaths,6
jharkhand,2015,Dowry Deaths,267
karnataka,2015,Dowry Deaths,254
kerala,2015,Dowry Deaths,8
madhya pradesh,2015,Dowry Deaths,664
maharashtra,2015,Dowry Deaths,268
manipur,2015,Dowry Deaths,0
meghalaya,2015,Dowry Deaths,1
mizoram,2015,Dowry Deaths,0
nagaland,2015,Dowry Deaths,0
odisha,2015,Dowry Deaths,356
punjab,2015,Dowry Deaths,85
rajasthan,2015,Dowry Deaths,463
sikkim,2015,Dowry Deaths,1
tamil nadu,2015,Dowry Deaths,65
telangana,2015,Dowry Deaths,262
tripura,2015,Dowry Deaths,28
uttar pradesh,2015,Dowry Deaths,2335
uttarakhand,2015,Dowry Deaths,54
west bengal,2015,Dowry Deaths,498
a & n islands,2015,Dowry Deaths,0
chandigarh,2015,Dowry Deaths,5
d&n haveli,2015,Dowry Deaths,1
daman & diu,2015,Dowry Deaths,0
delhi ut,2015,Dowry Deaths,122
lakshadweep,2015,Dowry Deaths,0
puducherry,2015,Dowry Deaths,1
andhra pradesh,2016,Dowry Deaths,193
arunachal pradesh,2016,Dowry Deaths,1
assam,2016,Dowry Deaths,157
bihar,2016,Dowry Deaths,987
chhattisgarh,2016,Dowry Deaths,84
goa,2016,Dowry Deaths,2
gujarat,2016,Dowry Deaths,12
haryana,2016,Dowry Deaths,260
himachal pradesh,2016,Dowry Deaths,3
jammu & kashmir,2016,Dowry Deaths,6
jharkhand,2016,Dowry Deaths,278
karnataka,2016,Dowry Deaths,234
kerala,2016,Dowry Deaths,25
madhya pradesh,2016,Dowry Deaths,629
maharashtra,2016,Dowry Deaths,248
manipur,2016,Dowry Deaths,0
meghalaya,2016,Dowry Deaths,0
mizoram,2016,Dowry Deaths,0
nagaland,2016,Dowry Deaths,1
odisha,2016,Dowry Deaths,397
punjab,2016,Dowry Deaths,80
rajasthan,2016,Dowry Deaths,462
sikkim,2016,Dowry Deaths,0
tamil nadu,2016,Dowry Deaths,58
telangana,2016,Dowry Deaths,254
tripura,2016,Dowry Deaths,19
uttar pradesh,2016,Dowry Deaths,2473
uttarakhand,2016,Dowry Deaths,57
west bengal,2016,Dowry Deaths,535
a & n islands,2016,Dowry Deaths,0
chandigarh,2016,Dowry Deaths,4
d&n haveli,2016,Dowry Deaths,0
daman & diu,2016,Dowry Deaths,0
delhi ut,2016,Dowry Deaths,162
lakshadweep,2016,Dowry Deaths,0
puducherry,2016,Dowry Deaths,0
andhra pradesh,2017,Dowry Deaths,152
arunachal pradesh,2017,Dowry Deaths,0
assam,2017,Dowry Deaths,171
bihar,2017,Dowry Deaths,1081
chhattisgarh,2017,Dowry Deaths,74
goa,2017,Dowry Deaths,1
gujarat,2017,Dowry Deaths,9
haryana,2017,Dowry Deaths,245
himachal pradesh,2017,Dowry Deaths,3
jammu & kashmir,2017,Dowry Deaths,8
jharkhand,2017,Dowry Deaths,248
karnataka,2017,Dowry Deaths,206
kerala,2017,Dowry Deaths,12
madhya pradesh,2017,Dowry Deaths,632
maharashtra,2017,Dowry Deaths,233
manipur,2017,Dowry Deaths,0
meghalaya,2017,Dowry Deaths,1
mizoram,2017,Dowry Deaths,0
nagaland,2017,Dowry Deaths,0
odisha,2017,Dowry Deaths,326
punjab,2017,Dowry Deaths,68
rajasthan,2017,Dowry Deaths,457
sikkim,2017,Dowry Deaths,0
tamil nadu,2017,Dowry Deaths,48
telangana,2017,Dowry Deaths,251
tripura,2017,Dowry Deaths,33
uttar pradesh,2017,Dowry Deaths,2524
